date,holiday_name,is_public_holiday
1959-11-11,Armistice,1
1959-12-25,Noël,1
1960-01-01,Jour de l'an,1
1960-04-18,Lundi de Pâques,1
1960-05-01,Fête du Travail,1
1960-05-26,Ascension,1
1960-06-06,Lundi de Pentecôte,1
1960-07-14,Fête nationale,1
1960-08-15,Assomption,1
1960-11-01,Toussaint,1
1960-11-11,Armistice,1
1960-12-25,Noël,1
1961-01-01,Jour de l'an,1
1961-04-03,Lundi de Pâques,1
1961-05-01,Fête du Travail,1
1961-05-11,Ascension,1
1961-05-22,Lundi de Pentecôte,1
1961-07-14,Fête nationale,1
1961-08-15,Assomption,1
1961-11-01,Toussaint,1
1961-11-11,Armistice,1
1961-12-25,Noël,1
1962-01-01,Jour de l'an,1
1962-04-23,Lundi de Pâques,1
1962-05-01,Fête du Travail,1
1962-05-31,Ascension,1
1962-06-11,Lundi de Pentecôte,1
1962-07-14,Fête nationale,1
1962-08-15,Assomption,1
1962-11-01,Toussaint,1
1962-11-11,Armistice,1
1962-12-25,Noël,1
1963-01-01,Jour de l'an,1
1963-04-15,Lundi de Pâques,1
1963-05-01,Fête du Travail,1
1963-05-23,Ascension,1
1963-06-03,Lundi de Pentecôte,1
1963-07-14,Fête nationale,1
1963-08-15,Assomption,1
1963-11-01,Toussaint,1
1963-11-11,Armistice,1
1963-12-25,Noël,1
1964-01-01,Jour de l'an,1
1964-03-30,Lundi de Pâques,1
1964-05-01,Fête du Travail,1
1964-05-07,Ascension,1
1964-05-18,Lundi de Pentecôte,1
1964-07-14,Fête nationale,1
1964-08-15,Assomption,1
1964-11-01,Toussaint,1
1964-11-11,Armistice,1
1964-12-25,Noël,1
1965-01-01,Jour de l'an,1
1965-04-19,Lundi de Pâques,1
1965-05-01,Fête du Travail,1
1965-05-27,Ascension,1
1965-06-07,Lundi de Pentecôte,1
1965-07-14,Fête nationale,1
1965-08-15,Assomption,1
1965-11-01,Toussaint,1
1965-11-11,Armistice,1
1965-12-25,Noël,1
1966-01-01,Jour de l'an,1
1966-04-11,Lundi de Pâques,1
1966-05-01,Fête du Travail,1
1966-05-19,Ascension,1
1966-05-30,Lundi de Pentecôte,1
1966-07-14,Fête nationale,1
1966-08-15,Assomption,1
1966-11-01,Toussaint,1
1966-11-11,Armistice,1
1966-12-25,Noël,1
1967-01-01,Jour de l'an,1
1967-03-27,Lundi de Pâques,1
1967-05-01,Fête du Travail,1
1967-05-04,Ascension,1
1967-05-15,Lundi de Pentecôte,1
1967-07-14,Fête nationale,1
1967-08-15,Assomption,1
1967-11-01,Toussaint,1
1967-11-11,Armistice,1
1967-12-25,Noël,1
1968-01-01,Jour de l'an,1
1968-04-15,Lundi de Pâques,1
1968-05-01,Fête du Travail,1
1968-05-23,Ascension,1
1968-06-03,Lundi de Pentecôte,1
1968-07-14,Fête nationale,1
1968-08-15,Assomption,1
1968-11-01,Toussaint,1
1968-11-11,Armistice,1
1968-12-25,Noël,1
1969-01-01,Jour de l'an,1
1969-04-07,Lundi de Pâques,1
1969-05-01,Fête du Travail,1
1969-05-15,Ascension,1
1969-05-26,Lundi de Pentecôte,1
1969-07-14,Fête nationale,1
1969-08-15,Assomption,1
1969-11-01,Toussaint,1
1969-11-11,Armistice,1
1969-12-25,Noël,1
1970-01-01,Jour de l'an,1
1970-03-30,Lundi de Pâques,1
1970-05-01,Fête du Travail,1
1970-05-07,Ascension,1
1970-05-18,Lundi de Pentecôte,1
1970-07-14,Fête nationale,1
1970-08-15,Assomption,1
1970-11-01,Toussaint,1
1970-11-11,Armistice,1
1970-12-25,Noël,1
1971-01-01,Jour de l'an,1
1971-04-12,Lundi de Pâques,1
1971-05-01,Fête du Travail,1
1971-05-20,Ascension,1
1971-05-31,Lundi de Pentecôte,1
1971-07-14,Fête nationale,1
1971-08-15,Assomption,1
1971-11-01,Toussaint,1
1971-11-11,Armistice,1
1971-12-25,Noël,1
1972-01-01,Jour de l'an,1
1972-04-03,Lundi de Pâques,1
1972-05-01,Fête du Travail,1
1972-05-11,Ascension,1
1972-05-22,Lundi de Pentecôte,1
1972-07-14,Fête nationale,1
1972-08-15,Assomption,1
1972-11-01,Toussaint,1
1972-11-11,Armistice,1
1972-12-25,Noël,1
1973-01-01,Jour de l'an,1
1973-04-23,Lundi de Pâques,1
1973-05-01,Fête du Travail,1
1973-05-31,Ascension,1
1973-06-11,Lundi de Pentecôte,1
1973-07-14,Fête nationale,1
1973-08-15,Assomption,1
1973-11-01,Toussaint,1
1973-11-11,Armistice,1
1973-12-25,Noël,1
1974-01-01,Jour de l'an,1
1974-04-15,Lundi de Pâques,1
1974-05-01,Fête du Travail,1
1974-05-23,Ascension,1
1974-06-03,Lundi de Pentecôte,1
1974-07-14,Fête nationale,1
1974-08-15,Assomption,1
1974-11-01,Toussaint,1
1974-11-11,Armistice,1
1974-12-25,Noël,1
1975-01-01,Jour de l'an,1
1975-03-31,Lundi de Pâques,1
1975-05-01,Fête du Travail,1
1975-05-08,Ascension,1
1975-05-19,Lundi de Pentecôte,1
1975-07-14,Fête nationale,1
1975-08-15,Assomption,1
1975-11-01,Toussaint,1
1975-11-11,Armistice,1
1975-12-25,Noël,1
1976-01-01,Jour de l'an,1
1976-04-19,Lundi de Pâques,1
1976-05-01,Fête du Travail,1
1976-05-27,Ascension,1
1976-06-07,Lundi de Pentecôte,1
1976-07-14,Fête nationale,1
1976-08-15,Assomption,1
1976-11-01,Toussaint,1
1976-11-11,Armistice,1
1976-12-25,Noël,1
1977-01-01,Jour de l'an,1
1977-04-11,Lundi de Pâques,1
1977-05-01,Fête du Travail,1
1977-05-19,Ascension,1
1977-05-30,Lundi de Pentecôte,1
1977-07-14,Fête nationale,1
1977-08-15,Assomption,1
1977-11-01,Toussaint,1
1977-11-11,Armistice,1
1977-12-25,Noël,1
1978-01-01,Jour de l'an,1
1978-03-27,Lundi de Pâques,1
1978-05-01,Fête du Travail,1
1978-05-04,Ascension,1
1978-05-15,Lundi de Pentecôte,1
1978-07-14,Fête nationale,1
1978-08-15,Assomption,1
