date,is_christian_holiday,is_jewish_holiday,is_muslim_holiday,is_chinese_holiday
1909-12-28,1,0,0,0
1910-01-01,1,0,0,0
1910-01-06,1,0,0,0
1910-01-18,0,0,0,1
1910-02-02,1,0,0,1
1910-02-09,1,0,0,0
1910-02-10,0,0,0,1
1910-02-24,0,0,0,1
1910-03-19,1,0,0,0
1910-03-20,1,0,0,0
1910-03-24,1,0,0,0
1910-03-25,1,0,0,0
1910-03-27,1,0,0,0
1910-03-28,1,0,0,0
1910-04-03,1,0,0,0
1910-04-06,0,0,0,1
1910-05-05,1,0,0,0
1910-05-15,1,0,0,0
1910-05-16,1,0,0,0
1910-05-22,1,0,0,0
1910-05-26,1,0,0,0
1910-06-03,1,0,0,0
1910-06-11,0,0,0,1
1910-06-24,1,0,0,0
1910-06-29,1,0,0,0
1910-08-06,1,0,0,0
1910-08-11,0,0,0,1
1910-08-15,1,0,0,0
1910-08-19,0,0,0,1
1910-09-08,1,0,0,0
1910-09-14,1,0,0,0
1910-09-18,0,0,0,1
1910-10-11,0,0,0,1
1910-11-01,1,0,0,0
1910-11-02,1,0,0,0
1910-12-08,1,0,0,0
1910-12-23,0,0,0,1
1910-12-25,1,0,0,0
1910-12-26,1,0,0,0
1910-12-28,1,0,0,0
1911-01-01,1,0,0,0
1911-01-06,1,0,0,0
1911-01-08,0,0,0,1
1911-01-23,0,0,0,1
1911-01-30,0,0,0,1
1911-02-02,1,0,0,0
1911-02-13,0,0,0,1
1911-03-01,1,0,0,0
1911-03-19,1,0,0,0
1911-03-25,1,0,0,0
1911-04-06,0,0,0,1
1911-04-09,1,0,0,0
1911-04-13,1,0,0,0
1911-04-14,1,0,0,0
1911-04-16,1,0,0,0
1911-04-17,1,0,0,0
1911-04-23,1,0,0,0
1911-05-25,1,0,0,0
1911-06-01,0,0,0,1
1911-06-04,1,0,0,0
1911-06-05,1,0,0,0
1911-06-11,1,0,0,0
1911-06-15,1,0,0,0
1911-06-23,1,0,0,0
1911-06-24,1,0,0,0
1911-06-29,1,0,0,0
1911-08-06,1,0,0,0
1911-08-15,1,0,0,0
1911-08-30,0,0,0,1
1911-09-07,0,0,0,1
1911-09-08,1,0,0,0
1911-09-14,1,0,0,0
1911-10-06,0,0,0,1
1911-10-30,0,0,0,1
1911-11-01,1,0,0,0
1911-11-02,1,0,0,0
1911-12-08,1,0,0,0
1911-12-23,0,0,0,1
1911-12-25,1,0,0,0
1911-12-26,1,0,0,0
1911-12-28,1,0,0,0
1912-01-01,1,0,0,0
1912-01-06,1,0,0,0
1912-01-26,0,0,0,1
1912-02-02,1,0,0,0
1912-02-10,0,0,0,1
1912-02-18,0,0,0,1
1912-02-21,1,0,0,0
1912-03-03,0,0,0,1
1912-03-19,1,0,0,0
1912-03-25,1,0,0,0
1912-03-31,1,0,0,0
1912-04-04,1,0,0,0
1912-04-05,1,0,0,1
1912-04-07,1,0,0,0
1912-04-08,1,0,0,0
1912-04-14,1,0,0,0
1912-05-16,1,0,0,0
1912-05-26,1,0,0,0
1912-05-27,1,0,0,0
1912-06-02,1,0,0,0
1912-06-06,1,0,0,0
1912-06-14,1,0,0,0
1912-06-19,0,0,0,1
1912-06-24,1,0,0,0
1912-06-29,1,0,0,0
1912-08-06,1,0,0,0
1912-08-15,1,0,0,0
1912-08-19,0,0,0,1
1912-08-27,0,0,0,1
1912-09-08,1,0,0,0
1912-09-14,1,0,0,0
1912-09-25,0,0,0,1
1912-10-18,0,0,0,1
1912-11-01,1,0,0,0
1912-11-02,1,0,0,0
1912-12-08,1,0,0,0
1912-12-22,0,0,0,1
1912-12-25,1,0,0,0
1912-12-26,1,0,0,0
1912-12-28,1,0,0,0
1913-01-01,1,0,0,0
1913-01-06,1,0,0,0
1913-01-14,0,0,0,1
1913-01-29,0,0,0,1
1913-02-02,1,0,0,0
1913-02-05,1,0,0,0
1913-02-06,0,0,0,1
1913-02-20,0,0,0,1
1913-03-16,1,0,0,0
1913-03-19,1,0,0,0
1913-03-20,1,0,0,0
1913-03-21,1,0,0,0
1913-03-23,1,0,0,0
1913-03-24,1,0,0,0
1913-03-25,1,0,0,0
1913-03-30,1,0,0,0
1913-04-05,0,0,0,1
1913-05-01,1,0,0,0
1913-05-11,1,0,0,0
1913-05-12,1,0,0,0
1913-05-18,1,0,0,0
1913-05-22,1,0,0,0
1913-05-30,1,0,0,0
1913-06-09,0,0,0,1
1913-06-24,1,0,0,0
1913-06-29,1,0,0,0
1913-08-06,1,0,0,0
1913-08-08,0,0,0,1
1913-08-15,1,0,0,0
1913-08-16,0,0,0,1
1913-09-08,1,0,0,0
1913-09-14,1,0,0,0
1913-09-15,0,0,0,1
1913-10-08,0,0,0,1
1913-11-01,1,0,0,0
1913-11-02,1,0,0,0
1913-12-08,1,0,0,0
1913-12-22,0,0,0,1
1913-12-25,1,0,0,0
