date,is_market_holiday,market_holiday_name
1950-09-22,1,Aïd el-Adha
1950-11-01,1,Toussaint
1950-12-25,1,Noël
1951-01-01,1,Jour de l'an
1951-03-26,1,Lundi de Pâques
1951-05-01,1,Fête du Travail
1951-05-03,1,Ascension
1951-05-08,1,Fête de la Victoire
1951-05-14,1,Lundi de Pentecôte
1951-07-05,1,Aïd el-Fitr / Rosh Hashana
1951-08-15,1,Assomption
1951-09-11,1,Aïd el-Adha
1951-11-01,1,Rosh Hashana / Toussaint
1951-12-25,1,Hanoucca / Noël
1952-01-01,1,Jour de l'an
1952-04-14,1,Lundi de Pâques / Pessa'h (fête)
1952-05-01,1,Fête du Travail
1952-05-08,1,Fête de la Victoire
1952-05-22,1,Ascension
1952-06-02,1,Lundi de Pentecôte / Ramadan
1952-06-23,1,Aïd el-Fitr
1952-07-14,1,Fête nationale
1952-08-15,1,Assomption
1952-11-11,1,Armistice 1918
1952-12-25,1,Noël
1953-01-01,1,Jour de l'an
1953-04-06,1,Lundi de Pâques
1953-05-01,1,Fête du Travail / Pessa'h (fête)
1953-05-08,1,Fête de la Victoire
1953-05-14,1,Ascension
1953-05-25,1,Lundi de Pentecôte / Ramadan
1953-07-14,1,Fête nationale
1953-08-20,1,Aïd el-Adha
1953-11-11,1,Armistice 1918
1953-12-25,1,Noël
1954-01-01,1,Hanoucca / Jour de l'an
1954-04-19,1,Lundi de Pâques
1954-05-27,1,Ascension / Ramadan
1954-06-02,1,Aïd el-Fitr
1954-06-07,1,Lundi de Pentecôte
1954-07-14,1,Fête nationale
1954-08-09,1,Aïd el-Adha
1954-11-01,1,Toussaint
1954-11-11,1,Armistice 1918
1955-04-11,1,Lundi de Pâques / Pessa'h (fête)
1955-05-19,1,Ascension / Ramadan
1955-05-30,1,Lundi de Pentecôte
1955-07-14,1,Fête nationale
1955-07-29,1,Aïd el-Adha
1955-08-15,1,Assomption
1955-11-01,1,Toussaint
1955-11-11,1,Armistice 1918
1956-04-02,1,Lundi de Pâques
1956-05-01,1,Fête du Travail / Ramadan
1956-05-08,1,Fête de la Victoire / Ramadan
1956-05-10,1,Ascension / Ramadan
1956-05-11,1,Aïd el-Fitr
1956-05-21,1,Lundi de Pentecôte
1956-07-18,1,Aïd el-Adha
1956-08-15,1,Assomption
1956-11-01,1,Toussaint
1956-12-25,1,Noël
1957-01-01,1,Jour de l'an / Rosh Hashana
1957-04-22,1,Lundi de Pâques / Ramadan
1957-04-30,1,Aïd el-Fitr
1957-05-01,1,Fête du Travail
1957-05-08,1,Fête de la Victoire
1957-05-30,1,Ascension
1957-06-10,1,Lundi de Pentecôte
1957-08-15,1,Assomption
1957-11-01,1,Toussaint
1957-11-11,1,Armistice 1918
1957-12-25,1,Noël
1958-01-01,1,Jour de l'an
1958-04-07,1,Lundi de Pâques / Pessa'h (fête) / Ramadan
1958-05-01,1,Fête du Travail
1958-05-08,1,Fête de la Victoire
1958-05-15,1,Ascension
1958-05-26,1,Lundi de Pentecôte
1958-06-27,1,Aïd el-Adha
1958-07-14,1,Fête nationale
1958-08-15,1,Assomption
1958-11-11,1,Armistice 1918
1958-12-25,1,Noël
1959-01-01,1,Jour de l'an
1959-03-30,1,Lundi de Pâques / Ramadan
1959-04-09,1,Aïd el-Fitr
1959-05-01,1,Fête du Travail
1959-05-07,1,Ascension
1959-05-08,1,Fête de la Victoire
1959-05-18,1,Lundi de Pentecôte
1959-06-16,1,Aïd el-Adha
1959-07-14,1,Fête nationale
1959-11-11,1,Armistice 1918
1959-12-25,1,Hanoucca / Noël
1960-01-01,1,Jour de l'an
1960-03-28,1,Aïd el-Fitr
1960-04-18,1,Lundi de Pâques
1960-05-26,1,Ascension
1960-06-06,1,Lundi de Pentecôte
1960-07-14,1,Fête nationale
1960-08-15,1,Assomption
1960-11-01,1,Toussaint
1960-11-11,1,Armistice 1918 / Chemini Atseret
1961-04-03,1,Lundi de Pâques
1961-05-01,1,Fête du Travail / Pessa'h (fête)
1961-05-08,1,Fête de la Victoire
1961-05-11,1,Ascension
1961-05-22,1,Lundi de Pentecôte
1961-05-25,1,Aïd el-Adha
1961-07-14,1,Fête nationale
1961-08-15,1,Assomption
1961-11-01,1,Chemini Atseret / Toussaint
1961-12-25,1,Noël
1962-01-01,1,Jour de l'an
1962-03-07,1,Aïd el-Fitr / Rosh Hashana
1962-04-23,1,Lundi de Pâques
1962-05-01,1,Fête du Travail
1962-05-08,1,Fête de la Victoire
1962-05-14,1,Aïd el-Adha
1962-05-31,1,Ascension / Yom HaShoah
1962-06-11,1,Lundi de Pentecôte
1962-08-15,1,Assomption
1962-11-01,1,Toussaint
1962-12-25,1,Hanoucca / Noël
1963-01-01,1,Jour de l'an
1963-04-15,1,Lundi de Pâques
1963-05-01,1,Fête du Travail
1963-05-03,1,Aïd el-Adha
1963-05-08,1,Fête de la Victoire
1963-05-23,1,Ascension / Rosh Hashana
1963-06-03,1,Lundi de Pentecôte
1963-08-15,1,Assomption
1963-11-01,1,Souccot / Toussaint
1963-11-11,1,Armistice 1918
1963-12-25,1,Noël
1964-01-01,1,Jour de l'an
1964-02-14,1,Aïd el-Fitr
1964-03-30,1,Lundi de Pâques
1964-04-22,1,Aïd el-Adha
1964-05-01,1,Fête du Travail / Pessa'h (fête)
1964-05-07,1,Ascension
1964-05-08,1,Fête de la Victoire / Yom HaShoah
1964-05-18,1,Lundi de Pentecôte
1964-07-14,1,Fête nationale
1964-11-11,1,Armistice 1918
1964-12-25,1,Noël
1965-01-01,1,Hanoucca / Jour de l'an
1965-02-02,1,Aïd el-Fitr
1965-04-19,1,Lundi de Pâques
1965-05-27,1,Ascension / Yom HaShoah
1965-06-07,1,Lundi de Pentecôte
1965-07-14,1,Fête nationale
1965-11-01,1,Toussaint
1965-11-11,1,Armistice 1918
1966-03-31,1,Aïd el-Adha
1966-04-11,1,Lundi de Pâques / Pessa'h (7e jour)
1966-05-19,1,Ascension
1966-05-30,1,Lundi de Pentecôte
1966-07-14,1,Fête nationale
1966-08-15,1,Assomption
1966-11-01,1,Toussaint
1966-11-11,1,Armistice 1918
1967-01-12,1,Aïd el-Fitr / Rosh Hashana
1967-03-21,1,Aïd el-Adha
1967-03-27,1,Lundi de Pâques
1967-05-01,1,Fête du Travail
1967-05-04,1,Ascension
1967-05-08,1,Fête de la Victoire
1967-05-15,1,Lundi de Pentecôte
1967-07-14,1,Fête nationale
1967-08-15,1,Assomption
